ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,PayingAdvertiserName,Gender,AgeBracket,CountryCode,,,,,,,,,
ed62c5cf560f915c0490b278e8c2a66f8cce17760e53b0772b20ba49f2f61eed,https://www.snap.com/political-ads/asset/d4626c3e49115c50a4a7c0d9e3aa614b34e71ab2ed9c398d352ba445bde99771?mediaType=mp4,EUR,0,299,2018/08/22 15:00:40Z,2018/09/09 12:30:23Z,Context Media,Socialdemokraterna - Kalmar Län,,18-24,sweden,,,,,,,,,
ae7bd48cd4116eed1f9da9c3722ec33193be1d2b548d87e2c78d80d81caafb2f,https://www.snap.com/political-ads/asset/6ac20def6a721e3b7dc7316b57a7b98718d1b0ebe3ed5848b4c45941e06353e2?mediaType=png,USD,60,13742,2018/09/28 23:10:14Z,2018/10/30 03:00:00Z,Chong and Koster,Voter Participation Center,,18+,united states,,,,,,,,,
14535fea019a9b1a910a77ce1555af8bdedbb5c78fb60aa4a8b83b446a4a3201,https://www.snap.com/political-ads/asset/754f6f633564cc6a107ae80210ce724269b5d1c8158df2079cf60746f82d77e8?mediaType=png,USD,6743,3149886,2018/10/06 01:11:41Z,2018/11/07 03:00:00Z,Lockwood Strategy,Change Now,,,united states,,,,,,,,,
6fabda7a86bb667b775fdd0a4c6bdfc20c708cf1d8e267bacac2a714be885bb2,https://www.snap.com/political-ads/asset/482946162d1d7fd15f11b580f2c4bcc03e6d71cff69e8d1d99fed8eebf0993f5?mediaType=mp4,GBP,860,651775,2018/10/01 22:14:13Z,2018/10/31 22:12:05Z,Dentsu Aegis Network,Home Office,,18-24,united kingdom,,,,,,,,,
709983374afd88394384689c8b3d970c9e0672003936b3086b41ab251dd1adde,https://www.snap.com/political-ads/asset/e3574828f7bef63d3998478283eadcbe3c3e54d6a2aef56bd615ba56cd06a02f?mediaType=mp4,USD,6,2216,2018/09/01 16:00:00Z,2018/10/01 06:59:00Z,"Do Something, Inc.",DoSomething.org,,18-20,united states,,,,,,,,,
3f058f67f6a2382055228c3e7ab37b87a2137069399d34890f027fb5f8426edb,https://www.snap.com/political-ads/asset/6bc7a06fbe95e1d343300443db0adc46ed19595efe49fd85f25ea161e2b74ed8?mediaType=mp4,USD,6473,548536,2018/10/18 17:56:07Z,2018/11/06 23:00:00Z,Bully Pulpit Interactive,NextGen America,,18-34,united states,,,,,,,,,
5ebcd8d07250acec4970ad1fa475bc69db6f7baf530e316524d59926734841ab,https://www.snap.com/political-ads/asset/f9d969e1fc6e5120cf2a6f3f80505de7d5f24fa31cbef532e9c05fdc3f7f3acc?mediaType=mp4,USD,3851,1051036,2018/10/24 22:53:03Z,2018/11/07 00:00:59Z,Centro LLC,Save Animals Facing Extinction,,18-34,united states,,,,,,,,,
efa687dc9ba49f352ae537b67040795ab24f17e2e3db22e46c8aca8fc65c4aac,https://www.snap.com/political-ads/asset/782e17ce5a43d84f65b660fec1e406e98034aa88c961273b04a47d504d21a660?mediaType=mp4,USD,4179,990392,2018/10/24 22:53:03Z,2018/11/07 00:00:59Z,Centro LLC,Save Animals Facing Extinction,,18-34,united states,,,,,,,,,
ce43958fc8d1fac5b85f0573021e6570bc9a52809ab4ca3e19de78660657e36f,https://www.snap.com/political-ads/asset/a472e036c7b9df74a3e395dde058a0a411584d2567189fd07ce0153ff05572dd?mediaType=mp4,GBP,148,82083,2018/09/26 15:34:51Z,2018/09/29 06:59:59Z,Dentsu Aegis Network,Home Office,MALE,18-24,united kingdom,,,,,,,,,
ff3ad72a874e6b5b5021a4ef421821e73cd3b9954933c6968ec0948091bae758,https://www.snap.com/political-ads/asset/1932036a03f1f84834d51f98146a6f164db267b17a34c15add02762dd1a828ff?mediaType=png,USD,56,12377,2018/09/28 23:10:14Z,2018/10/10 01:00:00Z,Chong and Koster,Voter Participation Center,FEMALE,18+,united states,,,,,,,,,
